text_id,text,task_1,task_2,task_3
hasoc_en_2967,Don’t feel sorry for this woman. #racist #complicit #fucktrump https://t.co/9xkX9EOJEN,HOF,HATE,UNT
hasoc_en1_2312,PM must understand and i am sure he understands now that these are the forces which have been unleashed by the sister organisations of the BJP & RSS.  They have created a Frankenstein which is a threat to Right to life & Right to life belongs to a Human Being: @asadowaisi,NOT,NONE,NONE
hasoc_en_3215,"@ShobhaBJP Madam why you never spoke about #TGSFraud &amp; #DreamzGKfraud ,Today you talk about #IMAFraud bz they financed PFI?Sachin naik and his team financed election funding for @BJP4Karnataka ?",NOT,NONE,NONE
hasoc_en_438,@DrDenaGrayson I can’t wait for the debates. So much to chose from. #TrumpIsADisgrace #TrumpIsACriminal #TrumpIsATraitor #ImpeachDonaldTrump,NOT,NONE,NONE
hasoc_en_264,I am not satisfy this verdict.   We want more than this... #Rapist https://t.co/VD0wo8sC5w,NOT,NONE,NONE
hasoc_en_4757,"@realDonaldTrump @USArmy @realDonaldTrump And YOU had NOTHING to do with it! If they're so great, why do you keep selling us out to #NorthKorea and #Russia? Oh, right. Because #TrumpIsATraitor.",HOF,OFFN,TIN
hasoc_en_382,@narendramodi Respected PM @narendramodi Ji   Address the issue of #AssaultOnDoctors and speak on measures to #StopViolenceAgainstDoctors and #SaveTheDoctors .  #DoctorsUnderOppression   #DoctorsFightBack,NOT,NONE,NONE
hasoc_en_2992,"@CillizzaCNN I met Jackie O, and that Slovenian hooker ( @FLOTUS ) is no Jackie O.    @WhiteHouse @realDonaldTrump #MAGA #TrumpIsATraitor #TrumpRussia https://t.co/TwYkfXcyDG",HOF,OFFN,TIN
hasoc_en_989,"Considering this is a dumb fuck country with illiterate dumb fuck people I won't be surprised if Maya, Mamata and Akhil fuse themselves into one big buffalo and become PM",HOF,PRFN,TIN
hasoc_en_737,fuck the ucl bring me the ICC trophy!!!!,HOF,PRFN,TIN
hasoc_en_4419,#etsy shop: Benedict Donald so called president is a traitor Short-Sleeve Unisex T-Shirt https://t.co/cFqiGN6kbT #clothing #shirt #streetwear #trump #impeach #treason #traitor #fucktrump #impeachtrump https://t.co/g59Zi4jx3D,NOT,NONE,NONE
hasoc_en_133,Has someone really just sent me a snap whilst doing 90mph in a lorry??? #dickhead,NOT,NONE,NONE
hasoc_en_3270,@Restart_512 @Restart_iran201 @realDonaldTrump @foxandfriends @FoxNews This is not a GREAT president! #fucktrump #trumpsanidiot #resist #DerangedDonald #TrumpCriminalInvestigations #ImpeachDonaldTrumpNOW https://t.co/DVC2HSWdi1,HOF,HATE,TIN
hasoc_en_199,"Ngl people pitting refugees against homeless people in Ireland is a pretty sick and twisted world view. They’re both emergencies ya daft yokes, stop making people’s lives into a competition #RefugeesAreWelcome #HomelessCrisis",NOT,NONE,NONE
hasoc_en_1407,"@republic Dear #ICC, your Hypocrisy at the peak...  FYI Lt Col MS Dhoni is d part of Parachute regiment of #IndianArmy &amp; he is proudly showing his organisation badge; which is neither religious nor racial...   &amp; #MSD will show this proudly in future too. 🇮🇳  #JaiHind     #DhoniKeepsTheGlove https://t.co/diUJG7sbtH",NOT,NONE,NONE
hasoc_en_4561,"#KellenWinslowII trial: #Guilty of #rape, #indecent #exposure, #lewdconduct https://t.co/jygu6Ii1e2? #convictedrapist #Rapist #Homelesswoman #Homeless #Chargers #sexualharassment #Sexualassault #Sexualmisconduct #Sexabuse #sexassault #sexcrimes #NFL",HOF,OFFN,TIN
hasoc_en_4503,@INCMumbai Tumari sarkar me jaise sab perfect tha? We can see who is blaming more here ! #CongressDoYourJob #CongressMuktBharat #GoToHell 🙏,HOF,HATE,TIN
hasoc_en_4899,@realDonaldTrump MSB(#Murderer) is snapping his fingers at you. https://t.co/xdQVnCWQSA,HOF,HATE,TIN
hasoc_en_4120,"Hi Indians 👋  Will Mr. Dhoni today use controversial gloves being a patriot which are banned by ICC ???  If Your Answer is No, than start strike in india and force Modi and BCCI to stop Indian team to Play WC.    #CWC19   #INDvAUS   #DhoniVsICC   #DhoniKeepsTheGlove   #IndiaWithDhoni",HOF,HATE,TIN
hasoc_en_3151,No education institutions should support any employees that support #rapist! To support a rapist subconsciously send a message that rape is okay! To support a man that rape women puts the safety of students at risk. It says women are nothing but some man release toilet! #harvard,NOT,NONE,NONE
hasoc_en_4225,@guyverhofstadt Try not to forget that this #dickhead does not speak for the majority of the people in this country Guy. 🇪🇺,HOF,PRFN,UNT
hasoc_en1_3046,"For stop all these incidents Rahul Gandhi, Akhilesh Yadav and Mamta Banarji Should resign.",NOT,NONE,NONE
hasoc_en_3438,"@realDonaldTrump As I scroll through all I see is This Tweet is unavailable.     Cause I blocked all you’re fake followers, Russian bots and racist whiners.     Make America Proud Again. Cause #FuckTrump it’s always been great. Make America Smart Again. Cause #FuckTrump we believe in #Science",HOF,HATE,TIN
hasoc_en_5502,Is @BorisJohnson having a FUCKING LAUGH? His plans to cut taxes from the rich are to come out of a proposed raise to employee national insurance? Why the FUCK do I have to pay more so that people richer than me can have even more money  they dont fucking need? #tory pic.twitter.com/PVr1enzDWI,HOF,PRFN,TIN
hasoc_en_5413,Will become more infamous than Bendict Arnold. Mark my words. #TrumpIsATraitor https://t.co/wXsDZWemp0,HOF,HATE,TIN
hasoc_en_1619,@waggytailkobe @Ex_Machina77 @JonnyBlze @realDonaldTrump @FoxNews Right..........#douchebag,NOT,NONE,NONE
