text_id,text,task_1,task_2,task_3
hasoc_en_3048,"LOL  -  I was #blocked by a #murderer for stating that it is sad to see he has #followers  ..   Oh well, hope I am safe. https://t.co/zFsAFy6QqP",HOF,HATE,TIN
hasoc_en_529,https://t.co/YtAHEGcwrT Go watch 🔥   #BharatBlockbuster   #EXOLSelcaDay  #DhoniKeepsTheGlove   #PrinceDay   #fordisfailing,NOT,NONE,NONE
hasoc_en_3935,"This is what I hate most about politics today:  F*** Business. F*** the NHS. F*** Northern Ireland. F*** struggling families. F*** our allies. F*** the country. As long as we can save the Party, No Deal Brexit will be worth it.  #BorisJohnsonShouldNotBePM  https://t.co/Ig2cDwI6oc",HOF,PRFN,UNT
hasoc_en_4481,"You could meme the heck out of this, but also it sits untouched pretty well too. #suckybaby #douchebag https://t.co/NB58wqgpy3",HOF,PRFN,UNT
hasoc_en_1904,As part of protest against the recent attack on two junior doctors in West Bengal there are more than 600 doctors from multiple colleges and hospitals have resigned.     We stand with you.     #StopViolenceAgainstDoctors #DoctorsFightBack #kronik969 #standwithyou https://t.co/4zdb2lUWyC,NOT,NONE,NONE
hasoc_en_899,"#DoctorsFightBack | The core demand is security, including CCTVs, security personnel, restricting entry, improving patient-doctor relationship - perhaps with counselling centres. And CM should apologise: Dr Swati and Dr Priyanshu from Resident Doctors Association, AIIMS",NOT,NONE,NONE
hasoc_en_2652,You are one sick fuck #dickhead https://t.co/2yYIt4KpuA,HOF,PRFN,TIN
hasoc_en_863,@realDonaldTrump @senatemajldr @MarkWarner Doesnt Mitch have his own issues? Conflicts of interest #secoftransportation Time for #ImpeachmentInquiryNow #TrumpNatSecRisk #TrumpIsATraitor #TrumpColluded #TrumpObstructed #IndictTrump https://t.co/RciozPd0Zg,NOT,NONE,NONE
hasoc_en_836,"Nearly enough to replace those you got rid of over the last 9 years, when you've trained them (2 yrs), if brexit leaves you enough money to pay for it.",NOT,NONE,NONE
hasoc_en_2395,I deeply request all indian fans to carry the Balidan dagger flag whoever going to watch the cricket in stadium or wear T-shirt with the logo. @ICC Show the power of us #DhoniKeepsTheGlove #IndiaWithDhoni,NOT,NONE,NONE
hasoc_en_1427,Who's next on the hit list? #SarahSandersResigns   #TrumpCrimeSyndicate #TrumpAdministration   #TrumpIsATraitor #CorruptGOP #TrumpMustResign https://t.co/qotxtcfs6O,NOT,NONE,NONE
